STATE,NAME,YEAR,AGE,SEX,LaunchYear,Mean,Lower80,Upper80
72,Puerto Rico,2011,5,2,2015,131188,131188,131188
72,Puerto Rico,2011,6,2,2015,119589,119589,119589
72,Puerto Rico,2011,7,2,2015,126267,126267,126267
72,Puerto Rico,2011,8,2,2015,121968,121968,121968
72,Puerto Rico,2011,9,2,2015,124337,124337,124337
72,Puerto Rico,2011,10,2,2015,131004,131004,131004
72,Puerto Rico,2011,11,2,2015,127952,127952,127952
72,Puerto Rico,2011,12,2,2015,122116,122116,122116
72,Puerto Rico,2011,13,2,2015,117001,117001,117001
72,Puerto Rico,2011,14,2,2015,100410,100410,100410
72,Puerto Rico,2011,15,2,2015,76738,76738,76738
72,Puerto Rico,2011,16,2,2015,58772,58772,58772
72,Puerto Rico,2011,17,2,2015,40698,40698,40698
72,Puerto Rico,2011,18,2,2015,41167,41167,41167
72,Puerto Rico,2012,1,1,2015,104437,104437,104437
72,Puerto Rico,2012,2,1,2015,114141,114141,114141
72,Puerto Rico,2012,3,1,2015,128131,128131,128131
72,Puerto Rico,2012,4,1,2015,137024,137024,137024
72,Puerto Rico,2012,5,1,2015,132933,132933,132933
72,Puerto Rico,2012,6,1,2015,111481,111481,111481
72,Puerto Rico,2012,7,1,2015,113719,113719,113719
72,Puerto Rico,2012,8,1,2015,110466,110466,110466
72,Puerto Rico,2012,9,1,2015,111927,111927,111927
72,Puerto Rico,2012,10,1,2015,113163,113163,113163
72,Puerto Rico,2012,11,1,2015,109195,109195,109195
72,Puerto Rico,2012,12,1,2015,103170,103170,103170
72,Puerto Rico,2012,13,1,2015,96402,96402,96402
72,Puerto Rico,2012,14,1,2015,86887,86887,86887
72,Puerto Rico,2012,15,1,2015,64756,64756,64756
72,Puerto Rico,2012,16,1,2015,46606,46606,46606
72,Puerto Rico,2012,17,1,2015,29307,29307,29307
72,Puerto Rico,2012,18,1,2015,25327,25327,25327
72,Puerto Rico,2012,1,2,2015,100050,100050,100050
72,Puerto Rico,2012,2,2,2015,107838,107838,107838
72,Puerto Rico,2012,3,2,2015,121438,121438,121438
